,Country,Target Year,Population lag 1 year,Population Current,Life Ex lag 1 year,Life Ex Current,GDP lag 1 year,GDP Current,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 1 year,CO2 Current,Happy lag 1 year
0,Argentina,2006,38892924.0,39289876.0,74.1,74.0,198737000000.0,232557000000.0,5109.852245,5919.012338,5690959659.0,5865568651.0,6.07315826416016
1,Argentina,2007,39289876.0,39684303.0,74.0,74.1,232557000000.0,287531000000.0,5919.012338,7245.446857,5865568651.0,6039814411.0,5.96103429794312
2,Argentina,2008,39684303.0,40080159.0,74.1,74.1,287531000000.0,361558000000.0,7245.446857,9020.873323,6039814411.0,6227920411.0,6.42413330078125
3,Argentina,2009,40080159.0,40482786.0,74.1,74.7,361558000000.0,332976000000.0,9020.873323,8225.137583,6227920411.0,6406869611.0,6.44106721878052
4,Argentina,2010,40482786.0,40895751.0,74.7,74.9,332976000000.0,423627000000.0,8225.137583,10385.96443,6406869611.0,6593602747.0,6.77580547332764
5,Argentina,2011,40895751.0,41320497.0,74.9,75.2,423627000000.0,530163000000.0,10385.96443,12848.8642,6593602747.0,6783876521.0,6.46838712692261
6,Argentina,2012,41320497.0,41755188.0,75.2,74.8,530163000000.0,545982000000.0,12848.8642,13082.66433,6783876521.0,6975591369.0,6.58226013183594
7,Argentina,2013,41755188.0,42196034.0,74.8,75.4,545982000000.0,552025000000.0,13082.66433,13080.25473,6975591369.0,7165724742.0,6.67111444473267
8,Argentina,2014,42196034.0,42637508.0,75.4,75.6,552025000000.0,526320000000.0,13080.25473,12334.79825,7165724742.0,7354381844.0,6.69713068008423
9,Argentina,2015,42637508.0,43075416.0,75.6,75.5,526320000000.0,594749000000.0,12334.79825,13789.06042,7354381844.0,7546787804.0,6.42722129821777
15,Bangladesh,2006,139035505.0,140921154.0,65.3,65.8,69442943089.0,71819083684.0,499.4619402,509.6401899,584171704.0,625860872.0,4.60732221603394
16,Bangladesh,2007,140921154.0,142660381.0,65.8,66.3,71819083684.0,79611888213.0,509.6401899,558.0518407,625860872.0,668503000.0,5.05227851867676
17,Bangladesh,2008,142660381.0,144304164.0,66.3,66.8,79611888213.0,91631278239.0,558.0518407,634.9870697,668503000.0,713803872.0,5.08285140991211
18,Bangladesh,2009,144304164.0,145924795.0,66.8,67.3,91631278239.0,102478000000.0,634.9870697,702.2644196,713803872.0,762951944.0,4.85848140716553
19,Bangladesh,2010,145924795.0,147575433.0,67.3,67.8,102478000000.0,115279000000.0,702.2644196,781.1535777,762951944.0,816943497.0,4.98564910888672
20,Bangladesh,2011,147575433.0,149273134.0,67.8,68.2,115279000000.0,128638000000.0,781.1535777,861.7621622,816943497.0,873499841.0,4.7244439125061
21,Bangladesh,2012,149273134.0,151005733.0,68.2,68.6,128638000000.0,133356000000.0,861.7621622,883.1171296,873499841.0,934191161.0,4.66016101837158
22,Bangladesh,2013,151005733.0,152761413.0,68.6,69.1,133356000000.0,149990000000.0,883.1171296,981.8608514,934191161.0,995972826.0,4.63556480407715
23,Bangladesh,2014,152761413.0,154517385.0,69.1,69.5,149990000000.0,172885000000.0,981.8608514,1118.873808,995972826.0,1061951464.0,4.63347387313843
24,Bangladesh,2015,154517385.0,156256287.0,69.5,69.9,172885000000.0,195079000000.0,1118.873808,1248.45331,1061951464.0,1135228712.0,4.5561408996582
30,Bolivia,2006,9232301.0,9395449.0,65.312,65.853,9549077919.0,11451869202.0,1034.311806,1218.874074,252115175.0,263662889.0,5.62841939926147
31,Bolivia,2007,9395449.0,9558438.0,65.853,66.395,11451869202.0,13120183208.0,1218.874074,1372.628374,263662889.0,276325429.0,5.29787254333496
32,Bolivia,2008,9558438.0,9721457.0,66.395,66.937,13120183208.0,16674324662.0,1372.628374,1715.208395,276325429.0,289879151.0,6.08557939529419
33,Bolivia,2009,9721457.0,9884790.0,66.937,67.476,16674324662.0,17339992194.0,1715.208395,1754.209467,289879151.0,304108591.0,5.78062009811401
34,Bolivia,2010,9884790.0,10048597.0,67.476,68.007,17339992194.0,19649631308.0,1754.209467,1955.460181,304108591.0,319534555.0,5.77887439727783
35,Bolivia,2011,10048597.0,10212951.0,68.007,68.521,19649631308.0,23963033429.0,1955.460181,2346.337844,319534555.0,336526971.0,6.0188946723938
36,Bolivia,2012,10212951.0,10377677.0,68.521,69.01,23963033429.0,27084497482.0,2346.337844,2609.880562,336526971.0,354305885.0,5.76742887496948
37,Bolivia,2013,10377677.0,10542375.0,69.01,69.468,27084497482.0,30659338886.0,2609.880562,2908.200371,354305885.0,373399755.0,5.8647985458374
38,Bolivia,2014,10542375.0,10706517.0,69.468,69.891,30659338886.0,32996188017.0,2908.200371,3081.878824,373399755.0,394116472.0,5.83432912826538
39,Bolivia,2015,10706517.0,10869732.0,69.891,70.277,32996188017.0,33000198249.0,3081.878824,3035.971655,394116472.0,415394141.0,5.76972341537476
45,Brazil,2006,186127108.0,188167353.0,75.0,71.0,891634000000.0,1107630000000.0,4790.456566,5886.391522,9225451782.0,9594322782.0,6.3206729888916
46,Brazil,2007,188167353.0,190130445.0,71.0,71.4,1107630000000.0,1397110000000.0,5886.391522,7348.187963,9594322782.0,9984895782.0,6.69142484664917
47,Brazil,2008,190130445.0,192030362.0,71.4,71.8,1397110000000.0,1695860000000.0,7348.187963,8831.183643,9984895782.0,10397533782.0,7.00083160400391
48,Brazil,2009,192030362.0,193886505.0,71.8,72.0,1695860000000.0,1667000000000.0,8831.183643,8597.794335,10397533782.0,10787308782.0,6.83733129501343
49,Brazil,2010,193886505.0,195713637.0,72.0,72.7,1667000000000.0,2208840000000.0,8597.794335,11286.07154,10787308782.0,11227577782.0,7.03781652450562
