,Country,Target Year,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 2 years,Happy lag 1 year
0,Argentina,2007,38892924.0,39289876.0,39684303.0,74.1,74.0,74.1,198737000000.0,232557000000.0,287531000000.0,5109.852245,5919.012338,7245.446857,5690959659.0,5865568651.0,6039814411.0,6.07315826416016,5.96103429794312
1,Argentina,2008,39289876.0,39684303.0,40080159.0,74.0,74.1,74.1,232557000000.0,287531000000.0,361558000000.0,5919.012338,7245.446857,9020.873323,5865568651.0,6039814411.0,6227920411.0,5.96103429794312,6.42413330078125
2,Argentina,2009,39684303.0,40080159.0,40482786.0,74.1,74.1,74.7,287531000000.0,361558000000.0,332976000000.0,7245.446857,9020.873323,8225.137583,6039814411.0,6227920411.0,6406869611.0,6.42413330078125,6.44106721878052
3,Argentina,2010,40080159.0,40482786.0,40895751.0,74.1,74.7,74.9,361558000000.0,332976000000.0,423627000000.0,9020.873323,8225.137583,10385.96443,6227920411.0,6406869611.0,6593602747.0,6.44106721878052,6.77580547332764
4,Argentina,2011,40482786.0,40895751.0,41320497.0,74.7,74.9,75.2,332976000000.0,423627000000.0,530163000000.0,8225.137583,10385.96443,12848.8642,6406869611.0,6593602747.0,6783876521.0,6.77580547332764,6.46838712692261
5,Argentina,2012,40895751.0,41320497.0,41755188.0,74.9,75.2,74.8,423627000000.0,530163000000.0,545982000000.0,10385.96443,12848.8642,13082.66433,6593602747.0,6783876521.0,6975591369.0,6.46838712692261,6.58226013183594
6,Argentina,2013,41320497.0,41755188.0,42196034.0,75.2,74.8,75.4,530163000000.0,545982000000.0,552025000000.0,12848.8642,13082.66433,13080.25473,6783876521.0,6975591369.0,7165724742.0,6.58226013183594,6.67111444473267
7,Argentina,2014,41755188.0,42196034.0,42637508.0,74.8,75.4,75.6,545982000000.0,552025000000.0,526320000000.0,13082.66433,13080.25473,12334.79825,6975591369.0,7165724742.0,7354381844.0,6.67111444473267,6.69713068008423
8,Argentina,2015,42196034.0,42637508.0,43075416.0,75.4,75.6,75.5,552025000000.0,526320000000.0,594749000000.0,13080.25473,12334.79825,13789.06042,7165724742.0,7354381844.0,7546787804.0,6.69713068008423,6.42722129821777
14,Bangladesh,2007,139035505.0,140921154.0,142660381.0,65.3,65.8,66.3,69442943089.0,71819083684.0,79611888213.0,499.4619402,509.6401899,558.0518407,584171704.0,625860872.0,668503000.0,4.60732221603394,5.05227851867676
15,Bangladesh,2008,140921154.0,142660381.0,144304164.0,65.8,66.3,66.8,71819083684.0,79611888213.0,91631278239.0,509.6401899,558.0518407,634.9870697,625860872.0,668503000.0,713803872.0,5.05227851867676,5.08285140991211
16,Bangladesh,2009,142660381.0,144304164.0,145924795.0,66.3,66.8,67.3,79611888213.0,91631278239.0,102478000000.0,558.0518407,634.9870697,702.2644196,668503000.0,713803872.0,762951944.0,5.08285140991211,4.85848140716553
17,Bangladesh,2010,144304164.0,145924795.0,147575433.0,66.8,67.3,67.8,91631278239.0,102478000000.0,115279000000.0,634.9870697,702.2644196,781.1535777,713803872.0,762951944.0,816943497.0,4.85848140716553,4.98564910888672
18,Bangladesh,2011,145924795.0,147575433.0,149273134.0,67.3,67.8,68.2,102478000000.0,115279000000.0,128638000000.0,702.2644196,781.1535777,861.7621622,762951944.0,816943497.0,873499841.0,4.98564910888672,4.7244439125061
19,Bangladesh,2012,147575433.0,149273134.0,151005733.0,67.8,68.2,68.6,115279000000.0,128638000000.0,133356000000.0,781.1535777,861.7621622,883.1171296,816943497.0,873499841.0,934191161.0,4.7244439125061,4.66016101837158
20,Bangladesh,2013,149273134.0,151005733.0,152761413.0,68.2,68.6,69.1,128638000000.0,133356000000.0,149990000000.0,861.7621622,883.1171296,981.8608514,873499841.0,934191161.0,995972826.0,4.66016101837158,4.63556480407715
21,Bangladesh,2014,151005733.0,152761413.0,154517385.0,68.6,69.1,69.5,133356000000.0,149990000000.0,172885000000.0,883.1171296,981.8608514,1118.873808,934191161.0,995972826.0,1061951464.0,4.63556480407715,4.63347387313843
22,Bangladesh,2015,152761413.0,154517385.0,156256287.0,69.1,69.5,69.9,149990000000.0,172885000000.0,195079000000.0,981.8608514,1118.873808,1248.45331,995972826.0,1061951464.0,1135228712.0,4.63347387313843,4.5561408996582
28,Bolivia,2007,9232301.0,9395449.0,9558438.0,65.312,65.853,66.395,9549077919.0,11451869202.0,13120183208.0,1034.311806,1218.874074,1372.628374,252115175.0,263662889.0,276325429.0,5.62841939926147,5.29787254333496
29,Bolivia,2008,9395449.0,9558438.0,9721457.0,65.853,66.395,66.937,11451869202.0,13120183208.0,16674324662.0,1218.874074,1372.628374,1715.208395,263662889.0,276325429.0,289879151.0,5.29787254333496,6.08557939529419
30,Bolivia,2009,9558438.0,9721457.0,9884790.0,66.395,66.937,67.476,13120183208.0,16674324662.0,17339992194.0,1372.628374,1715.208395,1754.209467,276325429.0,289879151.0,304108591.0,6.08557939529419,5.78062009811401
31,Bolivia,2010,9721457.0,9884790.0,10048597.0,66.937,67.476,68.007,16674324662.0,17339992194.0,19649631308.0,1715.208395,1754.209467,1955.460181,289879151.0,304108591.0,319534555.0,5.78062009811401,5.77887439727783
32,Bolivia,2011,9884790.0,10048597.0,10212951.0,67.476,68.007,68.521,17339992194.0,19649631308.0,23963033429.0,1754.209467,1955.460181,2346.337844,304108591.0,319534555.0,336526971.0,5.77887439727783,6.0188946723938
33,Bolivia,2012,10048597.0,10212951.0,10377677.0,68.007,68.521,69.01,19649631308.0,23963033429.0,27084497482.0,1955.460181,2346.337844,2609.880562,319534555.0,336526971.0,354305885.0,6.0188946723938,5.76742887496948
34,Bolivia,2013,10212951.0,10377677.0,10542375.0,68.521,69.01,69.468,23963033429.0,27084497482.0,30659338886.0,2346.337844,2609.880562,2908.200371,336526971.0,354305885.0,373399755.0,5.76742887496948,5.8647985458374
35,Bolivia,2014,10377677.0,10542375.0,10706517.0,69.01,69.468,69.891,27084497482.0,30659338886.0,32996188017.0,2609.880562,2908.200371,3081.878824,354305885.0,373399755.0,394116472.0,5.8647985458374,5.83432912826538
36,Bolivia,2015,10542375.0,10706517.0,10869732.0,69.468,69.891,70.277,30659338886.0,32996188017.0,33000198249.0,2908.200371,3081.878824,3035.971655,373399755.0,394116472.0,415394141.0,5.83432912826538,5.76972341537476
42,Brazil,2007,186127108.0,188167353.0,190130445.0,75.0,71.0,71.4,891634000000.0,1107630000000.0,1397110000000.0,4790.456566,5886.391522,7348.187963,9225451782.0,9594322782.0,9984895782.0,6.3206729888916,6.69142484664917
43,Brazil,2008,188167353.0,190130445.0,192030362.0,71.0,71.4,71.8,1107630000000.0,1397110000000.0,1695860000000.0,5886.391522,7348.187963,8831.183643,9594322782.0,9984895782.0,10397533782.0,6.69142484664917,7.00083160400391
44,Brazil,2009,190130445.0,192030362.0,193886505.0,71.4,71.8,72.0,1397110000000.0,1695860000000.0,1667000000000.0,7348.187963,8831.183643,8597.794335,9984895782.0,10397533782.0,10787308782.0,7.00083160400391,6.83733129501343
45,Brazil,2010,192030362.0,193886505.0,195713637.0,71.8,72.0,72.7,1695860000000.0,1667000000000.0,2208840000000.0,8831.183643,8597.794335,11286.07154,10397533782.0,10787308782.0,11227577782.0,6.83733129501343,7.03781652450562
46,Brazil,2011,193886505.0,195713637.0,197514541.0,72.0,72.7,73.0,1667000000000.0,2208840000000.0,2616160000000.0,8597.794335,11286.07154,13245.38737,10787308782.0,11227577782.0,11690157782.0,7.03781652450562,6.66000366210938
47,Brazil,2012,195713637.0,197514541.0,199287292.0,72.7,73.0,73.3,2208840000000.0,2616160000000.0,2465230000000.0,11286.07154,13245.38737,12370.22325,11227577782.0,11690157782.0,12188466782.0,6.66000366210938,7.14028263092041
48,Brazil,2013,197514541.0,199287292.0,201035904.0,73.0,73.3,73.4,2616160000000.0,2465230000000.0,2472820000000.0,13245.38737,12370.22325,12300.38671,11690157782.0,12188466782.0,12720884782.0,7.14028263092041,6.98099899291992
49,Brazil,2014,199287292.0,201035904.0,202763744.0,73.3,73.4,73.6,2465230000000.0,2472820000000.0,2456040000000.0,12370.22325,12300.38671,12112.83496,12188466782.0,12720884782.0,13278785782.0,6.98099899291992,6.54689693450928
50,Brazil,2015,201035904.0,202763744.0,204471759.0,73.4,73.6,73.8,2472820000000.0,2456040000000.0,1802210000000.0,12300.38671,12112.83496,8813.989806,12720884782.0,13278785782.0,13808138782.0,6.54689693450928,6.37481737136841
56,Cambodia,2007,13273355.0,13477705.0,13679953.0,57.7,58.5,59.3,6293046162.0,7274595707.0,8639235842.0,474.1111921,539.7503289,631.5252576,40051143.0,43048295.0,46519437.0,4.15597105026245,4.4621639251709
57,Cambodia,2008,13477705.0,13679953.0,13883835.0,58.5,59.3,63.0,7274595707.0,8639235842.0,10351914093.0,539.7503289,631.5252576,745.609127,43048295.0,46519437.0,50400809.0,4.4621639251709,4.11062574386597
58,Cambodia,2009,13679953.0,13883835.0,14093605.0,59.3,63.0,61.5,8639235842.0,10351914093.0,10401851851.0,631.5252576,745.609127,738.0547312,46519437.0,50400809.0,54957895.0,4.11062574386597,4.14107227325439
59,Cambodia,2010,13883835.0,14093605.0,14312205.0,63.0,61.5,62.9,10351914093.0,10401851851.0,11242275199.0,745.609127,738.0547312,785.5026671,50400809.0,54957895.0,60058259.0,4.14107227325439,4.16122531890869
60,Cambodia,2011,14093605.0,14312205.0,14541421.0,61.5,62.9,64.1,10401851851.0,11242275199.0,12829541141.0,738.0547312,785.5026671,882.275614,54957895.0,60058259.0,65252349.0,4.16122531890869,3.89870691299438
61,Cambodia,2012,14312205.0,14541421.0,14780454.0,62.9,64.1,65.0,11242275199.0,12829541141.0,14054443213.0,785.5026671,882.275614,950.880346,60058259.0,65252349.0,70703789.0,3.89870691299438,3.67446684837341
62,Cambodia,2013,14541421.0,14780454.0,15026330.0,64.1,65.0,65.6,12829541141.0,14054443213.0,15227991395.0,882.275614,950.880346,1013.420536,65252349.0,70703789.0,76281895.0,3.67446684837341,3.88330554962158
63,Cambodia,2014,14780454.0,15026330.0,15274506.0,65.0,65.6,66.1,14054443213.0,15227991395.0,16702610842.0,950.880346,1013.420536,1093.495976,70703789.0,76281895.0,82775697.0,3.88330554962158,4.16216468811035
