,Country,Target Year,Population lag 5 years,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 5 years,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 5 years,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 5 years,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 5 years,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 5 years,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
0,Argentina,2010,38892924.0,39289876.0,39684303.0,40080159.0,40482786.0,40895751.0,74.1,74.0,74.1,74.1,74.7,74.9,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,5109.852245,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,5690959659.0,5865568651.0,6039814411.0,6227920411.0,6406869611.0,6593602747.0,6.07315826416016,5.96103429794312,6.42413330078125,6.44106721878052,6.77580547332764
1,Argentina,2011,39289876.0,39684303.0,40080159.0,40482786.0,40895751.0,41320497.0,74.0,74.1,74.1,74.7,74.9,75.2,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,5919.012338,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,5865568651.0,6039814411.0,6227920411.0,6406869611.0,6593602747.0,6783876521.0,5.96103429794312,6.42413330078125,6.44106721878052,6.77580547332764,6.46838712692261
2,Argentina,2012,39684303.0,40080159.0,40482786.0,40895751.0,41320497.0,41755188.0,74.1,74.1,74.7,74.9,75.2,74.8,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,6039814411.0,6227920411.0,6406869611.0,6593602747.0,6783876521.0,6975591369.0,6.42413330078125,6.44106721878052,6.77580547332764,6.46838712692261,6.58226013183594
3,Argentina,2013,40080159.0,40482786.0,40895751.0,41320497.0,41755188.0,42196034.0,74.1,74.7,74.9,75.2,74.8,75.4,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,6227920411.0,6406869611.0,6593602747.0,6783876521.0,6975591369.0,7165724742.0,6.44106721878052,6.77580547332764,6.46838712692261,6.58226013183594,6.67111444473267
4,Argentina,2014,40482786.0,40895751.0,41320497.0,41755188.0,42196034.0,42637508.0,74.7,74.9,75.2,74.8,75.4,75.6,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,6406869611.0,6593602747.0,6783876521.0,6975591369.0,7165724742.0,7354381844.0,6.77580547332764,6.46838712692261,6.58226013183594,6.67111444473267,6.69713068008423
5,Argentina,2015,40895751.0,41320497.0,41755188.0,42196034.0,42637508.0,43075416.0,74.9,75.2,74.8,75.4,75.6,75.5,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,6593602747.0,6783876521.0,6975591369.0,7165724742.0,7354381844.0,7546787804.0,6.46838712692261,6.58226013183594,6.67111444473267,6.69713068008423,6.42722129821777
11,Bangladesh,2010,139035505.0,140921154.0,142660381.0,144304164.0,145924795.0,147575433.0,65.3,65.8,66.3,66.8,67.3,67.8,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,584171704.0,625860872.0,668503000.0,713803872.0,762951944.0,816943497.0,4.60732221603394,5.05227851867676,5.08285140991211,4.85848140716553,4.98564910888672
12,Bangladesh,2011,140921154.0,142660381.0,144304164.0,145924795.0,147575433.0,149273134.0,65.8,66.3,66.8,67.3,67.8,68.2,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,625860872.0,668503000.0,713803872.0,762951944.0,816943497.0,873499841.0,5.05227851867676,5.08285140991211,4.85848140716553,4.98564910888672,4.7244439125061
13,Bangladesh,2012,142660381.0,144304164.0,145924795.0,147575433.0,149273134.0,151005733.0,66.3,66.8,67.3,67.8,68.2,68.6,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,668503000.0,713803872.0,762951944.0,816943497.0,873499841.0,934191161.0,5.08285140991211,4.85848140716553,4.98564910888672,4.7244439125061,4.66016101837158
14,Bangladesh,2013,144304164.0,145924795.0,147575433.0,149273134.0,151005733.0,152761413.0,66.8,67.3,67.8,68.2,68.6,69.1,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149990000000.0,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,713803872.0,762951944.0,816943497.0,873499841.0,934191161.0,995972826.0,4.85848140716553,4.98564910888672,4.7244439125061,4.66016101837158,4.63556480407715
