,Country,Target Year,Target Score,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
0,Argentina,2005,6.07315826416016,,,,38892924.0,,,,74.1,,,,198737000000.0,,,,5109.852245,,,,5690959659.0,,,
1,Argentina,2006,5.96103429794312,,,38892924.0,39289876.0,,,74.1,74.0,,,198737000000.0,232557000000.0,,,5109.852245,5919.012338,,,5690959659.0,5865568651.0,,,6.07315826416016
2,Argentina,2007,6.42413330078125,,38892924.0,39289876.0,39684303.0,,74.1,74.0,74.1,,198737000000.0,232557000000.0,287531000000.0,,5109.852245,5919.012338,7245.446857,,5690959659.0,5865568651.0,6039814411.0,,6.07315826416016,5.96103429794312
3,Argentina,2008,6.44106721878052,38892924.0,39289876.0,39684303.0,40080159.0,74.1,74.0,74.1,74.1,198737000000.0,232557000000.0,287531000000.0,361558000000.0,5109.852245,5919.012338,7245.446857,9020.873323,5690959659.0,5865568651.0,6039814411.0,6227920411.0,6.07315826416016,5.96103429794312,6.42413330078125
4,Argentina,2009,6.77580547332764,39289876.0,39684303.0,40080159.0,40482786.0,74.0,74.1,74.1,74.7,232557000000.0,287531000000.0,361558000000.0,332976000000.0,5919.012338,7245.446857,9020.873323,8225.137583,5865568651.0,6039814411.0,6227920411.0,6406869611.0,5.96103429794312,6.42413330078125,6.44106721878052
5,Argentina,2010,6.46838712692261,39684303.0,40080159.0,40482786.0,40895751.0,74.1,74.1,74.7,74.9,287531000000.0,361558000000.0,332976000000.0,423627000000.0,7245.446857,9020.873323,8225.137583,10385.96443,6039814411.0,6227920411.0,6406869611.0,6593602747.0,6.42413330078125,6.44106721878052,6.77580547332764
6,Argentina,2011,6.58226013183594,40080159.0,40482786.0,40895751.0,41320497.0,74.1,74.7,74.9,75.2,361558000000.0,332976000000.0,423627000000.0,530163000000.0,9020.873323,8225.137583,10385.96443,12848.8642,6227920411.0,6406869611.0,6593602747.0,6783876521.0,6.44106721878052,6.77580547332764,6.46838712692261
7,Argentina,2012,6.67111444473267,40482786.0,40895751.0,41320497.0,41755188.0,74.7,74.9,75.2,74.8,332976000000.0,423627000000.0,530163000000.0,545982000000.0,8225.137583,10385.96443,12848.8642,13082.66433,6406869611.0,6593602747.0,6783876521.0,6975591369.0,6.77580547332764,6.46838712692261,6.58226013183594
8,Argentina,2013,6.69713068008423,40895751.0,41320497.0,41755188.0,42196034.0,74.9,75.2,74.8,75.4,423627000000.0,530163000000.0,545982000000.0,552025000000.0,10385.96443,12848.8642,13082.66433,13080.25473,6593602747.0,6783876521.0,6975591369.0,7165724742.0,6.46838712692261,6.58226013183594,6.67111444473267
9,Argentina,2014,6.42722129821777,41320497.0,41755188.0,42196034.0,42637508.0,75.2,74.8,75.4,75.6,530163000000.0,545982000000.0,552025000000.0,526320000000.0,12848.8642,13082.66433,13080.25473,12334.79825,6783876521.0,6975591369.0,7165724742.0,7354381844.0,6.58226013183594,6.67111444473267,6.69713068008423
