,Country,Target Year,Target Score,Population lag 1 year,Population Current,Life Ex lag 1 year,Life Ex Current,GDP lag 1 year,GDP Current,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 1 year,CO2 Current,Happy lag 1 year
0,Argentina,2005,6.07315826416016,,38892924.0,,74.1,,198737000000.0,,5109.852245,,5690959659.0,
1,Argentina,2006,5.96103429794312,38892924.0,39289876.0,74.1,74.0,198737000000.0,232557000000.0,5109.852245,5919.012338,5690959659.0,5865568651.0,6.07315826416016
2,Argentina,2007,6.42413330078125,39289876.0,39684303.0,74.0,74.1,232557000000.0,287531000000.0,5919.012338,7245.446857,5865568651.0,6039814411.0,5.96103429794312
3,Argentina,2008,6.44106721878052,39684303.0,40080159.0,74.1,74.1,287531000000.0,361558000000.0,7245.446857,9020.873323,6039814411.0,6227920411.0,6.42413330078125
4,Argentina,2009,6.77580547332764,40080159.0,40482786.0,74.1,74.7,361558000000.0,332976000000.0,9020.873323,8225.137583,6227920411.0,6406869611.0,6.44106721878052
5,Argentina,2010,6.46838712692261,40482786.0,40895751.0,74.7,74.9,332976000000.0,423627000000.0,8225.137583,10385.96443,6406869611.0,6593602747.0,6.77580547332764
6,Argentina,2011,6.58226013183594,40895751.0,41320497.0,74.9,75.2,423627000000.0,530163000000.0,10385.96443,12848.8642,6593602747.0,6783876521.0,6.46838712692261
7,Argentina,2012,6.67111444473267,41320497.0,41755188.0,75.2,74.8,530163000000.0,545982000000.0,12848.8642,13082.66433,6783876521.0,6975591369.0,6.58226013183594
8,Argentina,2013,6.69713068008423,41755188.0,42196034.0,74.8,75.4,545982000000.0,552025000000.0,13082.66433,13080.25473,6975591369.0,7165724742.0,6.67111444473267
9,Argentina,2014,6.42722129821777,42196034.0,42637508.0,75.4,75.6,552025000000.0,526320000000.0,13080.25473,12334.79825,7165724742.0,7354381844.0,6.69713068008423
10,Argentina,2015,6.03933000564575,42637508.0,43075416.0,75.6,75.5,526320000000.0,594749000000.0,12334.79825,13789.06042,7354381844.0,7546787804.0,6.42722129821777
11,Argentina,2016,5.79279661178589,43075416.0,43508459.0,75.5,75.7,594749000000.0,557531000000.0,13789.06042,12790.24247,7546787804.0,7737764998.0,6.03933000564575
12,Argentina,2017,6.08556079864502,43508459.0,43937143.0,75.7,75.9,557531000000.0,643629000000.0,12790.24247,14613.04182,7737764998.0,7925569727.0,5.79279661178589
13,Argentina,2018,5.90056705474854,43937143.0,44361150.0,75.9,76.0,643629000000.0,524820000000.0,14613.04182,11795.15939,7925569727.0,8106669354.0,6.08556079864502
