Country,Year,GDP,GDP_per_capita
Egypt,2005,89600665557,1186.393313
Egypt,2006,107426086957,1397.43669
Egypt,2007,130437828371,1667.317998
Egypt,2008,162818181818,2044.527804
Egypt,2009,189147005445,2331.26884
Egypt,2010,218983666062,2645.968759
Egypt,2011,235989672978,2791.810766
Egypt,2012,279116666667,3229.68563
Egypt,2013,288434108527,3262.657586
Egypt,2014,305595408895,3379.557986
Egypt,2015,329366576819,3562.932658
Egypt,2016,332441717791,3519.87324
Egypt,2017,235733695652,2444.290387
Egypt,2018,249712999437,2537.125185
Egypt,2019,303080865604,3019.092283
Egypt,2020,363069245165,3547.870848
South Korea,2005,934901071333,19196.72587
South Korea,2006,1053216909888,21546.79287
South Korea,2007,1172614086540,23913.90962
South Korea,2008,1047339010225,21294.97087
South Korea,2009,943941876219,19128.48336
South Korea,2010,1144066965324,23091.17435
South Korea,2011,1253223044719,25172.12054
South Korea,2012,1278427634343,25537.58122
South Korea,2013,1370795199976,27227.6412
South Korea,2014,1484318219634,29329.77069
South Korea,2015,1465773245547,28840.69686
South Korea,2016,1500111596236,29423.50339
South Korea,2017,1623901496836,31781.12827
South Korea,2018,1724845615629,33707.02196
South Korea,2019,1646739219510,32146.97707
South Korea,2020,1630525005469,31803.21804
Kyrgyzstan,2005,2460248026,484.7454606
Kyrgyzstan,2006,2834168889,553.0755804
Kyrgyzstan,2007,3802566171,733.4653781
Kyrgyzstan,2008,5139957785,978.1138166
Kyrgyzstan,2009,4690062255,879.1600693
Kyrgyzstan,2010,4794357795,884.1929741
Kyrgyzstan,2011,6197766119,1123.20553
Kyrgyzstan,2012,6605139933,1174.960849
Kyrgyzstan,2013,7335027592,1279.816487
Kyrgyzstan,2014,7468096567,1277.794462
Kyrgyzstan,2015,6678178340,1120.664061
Kyrgyzstan,2016,6813092066,1121.620892
Kyrgyzstan,2017,7702934800,1244.470847
Kyrgyzstan,2018,8271106196,1312.035754
Kyrgyzstan,2019,8871019823,1382.672357
Kyrgyzstan,2020,7735976613,1185.737299
Russia,2005,764017107992,5317.782472
Russia,2006,989930542279,6903.12449
Russia,2007,1299705764824,9071.96325
Russia,2008,1660846387625,11594.14114
Russia,2009,1222644282202,8530.459028
Russia,2010,1524917468442,10628.13769
Russia,2011,2045925608274,14237.17823
Russia,2012,2208295773643,15336.03825
Russia,2013,2292473246621,15884.05338
Russia,2014,2059241965491,14234.5715
Russia,2015,1363481063447,9404.28671
Russia,2016,1276786979222,8788.736481
Russia,2017,1574199387071,10817.0027
Russia,2018,1657328865710,11372.28429
Russia,2019,1687448525467,11567.98781
Russia,2020,1483497784868,10165.50707
Turkey,2005,506308311477,7456.296101
Turkey,2006,557057829051,8101.856924
Turkey,2007,681337335022,9791.88245
Turkey,2008,770462156204,10941.17215
Turkey,2009,649272568774,9103.474051
Turkey,2010,776992599947,10742.77498
Turkey,2011,838762755164,11420.55546
Turkey,2012,880556375780,11795.63346
Turkey,2013,957783020853,12614.78161
Turkey,2014,938952628604,12157.99043
Turkey,2015,864316670331,11006.27952
Turkey,2016,869692960366,10894.60338
Turkey,2017,858996263096,10589.66772
Turkey,2018,778377023569,9453.196172
Turkey,2019,761428183369,9126.594392
Turkey,2020,720101212394,8538.16906
