,Target Score
0,6.77580547332764
1,6.46838712692261
2,6.58226013183594
3,6.67111444473267
4,6.69713068008423
5,6.42722129821777
6,6.03933000564575
12,4.98564910888672
13,4.7244439125061
14,4.66016101837158
15,4.63556480407715
16,4.63347387313843
17,4.5561408996582
18,4.3097710609436
24,5.77887439727783
25,6.0188946723938
26,5.76742887496948
27,5.8647985458374
28,5.83432912826538
29,5.76972341537476
30,5.65055274963379
36,7.03781652450562
37,6.66000366210938
38,7.14028263092041
39,6.98099899291992
40,6.54689693450928
41,6.37481737136841
42,6.3329291343689
48,4.16122531890869
49,3.89870691299438
50,3.67446684837341
51,3.88330554962158
52,4.16216468811035
53,4.46125936508179
54,4.58584213256836
60,4.43388509750366
61,4.24463415145874
62,4.27103805541992
63,4.24044132232666
64,5.03796482086182
65,4.81623220443726
66,5.07405138015747
72,7.42605352401733
73,7.41514444351196
74,7.59379386901855
75,7.30425786972046
76,7.41277265548706
77,7.24484586715698
78,7.41486835479736
84,6.52633476257324
85,6.59912872314453
86,6.74015378952026
87,6.84423828125
88,6.53274965286255
89,6.57905626296997
90,6.32011938095093
96,5.03720760345459
97,5.09491729736328
98,5.24109029769897
99,5.19561910629272
100,5.30387783050537
101,5.32495594024658
102,5.09906148910522
108,6.46395254135132
109,6.37487983703613
110,6.60655069351196
111,6.44878911972046
112,6.38757181167603
113,6.23371505737305
114,6.15734195709229
120,7.78823184967041
121,7.51990938186646
122,7.58860683441162
123,7.50755929946899
124,7.5144248008728
125,7.5577826499939
126,7.59370231628418
132,5.39653539657593
133,4.75331115722656
134,5.01551532745361
135,5.38733196258545
136,5.06186246871948
137,5.23869848251343
138,5.60520267486572
144,5.79508829116821
145,5.96071624755859
146,6.01920604705811
147,5.94585180282593
148,5.96407508850098
149,6.11543750762939
150,5.83951854705811
156,4.17415857315063
157,4.20415687561035
158,3.55852031707764
159,4.88507270812988
160,4.76253843307495
161,4.55674076080322
162,3.92934417724609
168,4.74129486083984
169,5.93437147140503
170,6.32506322860718
171,5.85652351379395
172,6.01849603652954
173,6.13982486724854
174,6.33931827545166
180,4.20303058624268
181,4.25444555282593
182,4.34892082214355
183,4.28750801086426
184,4.12194061279297
185,4.44838619232178
186,4.45077466964722
192,6.62131214141846
193,6.70236206054688
194,6.96512508392334
195,6.98421430587769
196,7.03713750839233
197,6.87376308441162
198,7.07432460784912
204,5.60819959640503
205,5.05726194381714
206,4.96505308151245
207,3.86035108566284
208,3.98591613769531
209,4.51441144943237
210,5.48131084442139
216,4.63487148284912
217,4.72014665603638
218,4.42778873443604
219,4.42437934875488
220,4.34207916259766
221,4.17917728424072
222,4.04611110687256
228,7.43314790725708
229,7.1108546257019
230,7.32056331634521
231,7.40057039260864
232,7.07941102981567
233,7.159010887146
234,7.33103609085083
240,6.05708646774292
241,5.83931398391724
242,6.00937366485596
243,6.0265851020813
244,5.84768390655518
245,5.95452404022217
246,6.19887018203735
252,6.26279354095459
253,5.96821641921997
254,5.95936155319214
255,5.92262077331543
256,5.87968444824219
257,5.95465087890625
258,5.9106764793396
264,5.53932762145996
265,5.13199615478516
266,5.17195272445679
267,5.33302164077759
268,5.4045934677124
269,5.27128458023071
270,4.80808258056641
276,5.73566293716431
277,5.75946950912476
278,5.83548307418823
279,5.97009754180908
280,5.94999504089355
281,5.53355169296265
282,5.88235139846802
288,4.40531015396118
289,4.54733514785767
290,3.79538321495056
291,4.90457963943481
292,4.35761785507202
293,4.39612770080566
294,4.47565412521362
300,4.85950183868408
301,5.63958835601807
302,6.12575817108154
303,5.00037527084351
304,5.07746076583862
305,5.75941228866577
306,6.14919996261597
312,4.92104911804199
313,5.20778560638428
314,5.40242671966553
315,5.25219297409058
316,4.90537595748901
317,4.85653400421143
318,5.62953662872314
324,5.43243741989136
325,5.77103710174561
326,5.59568929672241
327,6.12572383880615
328,5.71137809753418
329,5.86555242538452
330,6.27294063568115
336,6.90951538085938
337,7.32018518447876
338,7.44254636764526
339,6.67983102798462
340,6.23628711700439
341,6.82417297363281
342,6.41029930114746
348,5.7922625541687
349,5.9957127571106
350,5.75605916976929
351,5.91705846786499
352,6.01747226715088
353,5.57778406143188
354,5.32553052902222
360,4.99395656585693
361,5.00196504592896
362,4.97692537307739
363,5.31255006790161
364,5.54748916625977
365,5.430832862854
366,5.5942702293396
372,5.38876628875732
373,5.62073564529419
374,5.53717756271362
375,6.03697681427002
376,5.99553871154785
377,5.85494565963745
378,5.57874298095703
384,6.69978952407837
385,6.39635944366455
386,6.49513292312622
387,6.27837800979614
388,6.34549188613892
389,6.47392129898071
390,6.29428243637085
396,4.93051147460938
397,5.13388776779175
398,3.66072726249695
399,4.82845640182495
400,4.88732576370239
401,4.76973962783813
402,4.51365518569946
408,6.94659900665283
409,6.00328683853149
410,5.9588098526001
411,5.80132532119751
412,5.78021144866943
413,5.97056436538696
414,5.87388706207275
420,6.51824903488159
421,6.29069042205811
422,6.15002727508545
423,6.45647764205933
424,6.38066339492798
425,6.31861209869385
426,6.23017311096191
432,7.38223218917847
433,7.56014776229858
434,7.43401050567627
435,7.23914766311646
436,7.28892230987549
437,7.36874437332153
438,7.28680467605591
444,4.26267147064209
445,4.49657154083252
446,4.96652126312256
447,4.89615774154663
448,5.12421083450317
449,5.10372114181519
450,5.82923412322998
456,4.07356214523315
457,4.00689744949341
458,3.85239481925964
459,3.48327851295471
460,3.66059732437134
461,2.90273427963257
462,3.3471212387085
468,6.66360902786255
469,6.30023527145386
470,6.23102474212646
471,6.98546361923218
472,6.20176267623901
473,6.07363986968994
474,5.9388952255249
480,5.27194404602051
481,5.3090763092041
482,4.88817739486694
483,5.57979440689087
484,5.51446533203125
485,5.32622194290161
486,5.607262134552
492,4.82600116729736
493,4.30923795700073
494,3.7095787525177
495,3.7699191570282
496,4.23768663406372
497,4.23326110839844
498,4.00051689147949
504,5.08313274383545
505,5.03034210205078
506,4.71080255508423
507,4.29732990264893
508,3.96454286575317
509,4.02869033813477
510,4.3110671043396
516,6.86924886703491
517,6.880784034729
518,6.91805505752563
519,6.75814771652222
520,6.51544523239136
521,6.82428359985352
522,7.10327339172363
528,7.1151385307312
529,7.02622699737549
530,7.24928522109985
531,7.15111446380615
532,6.86394691467285
533,6.80359983444214
534,6.99175930023193
540,6.55404710769653
541,6.44972848892212
542,6.44446468353271
543,6.56144380569458
544,6.62808036804199
545,6.17148542404175
546,6.33600997924805
552,4.84564161300659
553,4.95510053634644
554,4.69018793106079
555,4.18445062637329
556,3.70319128036499
557,3.73540019989014
558,3.63830018043518
7,5.79279661178589
8,6.08556079864502
19,4.49921703338623
20,5.11421680450439
31,5.91573429107666
32,5.67427062988281
43,6.19092178344727
44,6.45114898681641
55,5.1218376159668
56,4.99828481674194
67,5.25073766708374
68,4.93673753738403
79,7.17549657821655
80,7.10907649993896
91,6.43622064590454
92,5.94225025177002
103,5.13143396377563
104,5.14412021636963
115,5.98351240158081
116,6.35029792785645
127,7.64878559112549
128,7.69300317764282
139,5.43321561813354
140,6.00423717498779
151,6.12801027297974
152,5.80913114547729
163,4.00545072555542
164,4.32783174514771
175,6.2411994934082
176,6.45482063293457
187,4.65909719467163
188,4.89183568954468
199,7.11836433410645
200,7.03547239303589
211,5.00369310379028
212,4.96680974960327
223,3.81806874275208
224,3.24876976013184
235,6.92717885971069
236,7.33177995681763
247,6.51652669906616
248,6.44541692733765
259,5.79357528686523
260,5.90803909301758
271,4.63893365859985
272,4.45254802703857
283,6.00763607025146
284,6.27226829528809
295,4.65570259094238
296,4.61885023117065
307,6.39182567596436
308,6.42514419555664
319,5.29738330841064
320,5.68522071838379
331,6.30887889862061
332,6.06409788131714
343,6.54957866668701
344,6.43194532394409
355,5.6822772026062
356,5.80345058441162
367,5.8691725730896
368,6.26774501800537
379,5.51350021362305
380,5.44052362442017
391,6.35639333724976
392,6.5612473487854
403,4.88392210006714
404,5.03486347198486
415,5.84023141860962
416,5.90281677246094
427,6.51337099075317
428,6.45744943618774
