,Country,Year,Happy Score,Population,Life Expectancy,GDP_USD,GDP_per_capita_USD,CO2 emission (Tons)
0,Argentina,2005,6.07315826416016,38892924.0,74.1,198737000000.0,5109.852245,5690959659.0
1,Argentina,2006,5.96103429794312,39289876.0,74.0,232557000000.0,5919.012338,5865568651.0
2,Argentina,2007,6.42413330078125,39684303.0,74.1,287531000000.0,7245.446857,6039814411.0
3,Argentina,2008,6.44106721878052,40080159.0,74.1,361558000000.0,9020.873323,6227920411.0
4,Argentina,2009,6.77580547332764,40482786.0,74.7,332976000000.0,8225.137583,6406869611.0
5,Argentina,2010,6.46838712692261,40895751.0,74.9,423627000000.0,10385.96443,6593602747.0
6,Argentina,2011,6.58226013183594,41320497.0,75.2,530163000000.0,12848.8642,6783876521.0
7,Argentina,2012,6.67111444473267,41755188.0,74.8,545982000000.0,13082.66433,6975591369.0
8,Argentina,2013,6.69713068008423,42196034.0,75.4,552025000000.0,13080.25473,7165724742.0
9,Argentina,2014,6.42722129821777,42637508.0,75.6,526320000000.0,12334.79825,7354381844.0
10,Argentina,2015,6.03933000564575,43075416.0,75.5,594749000000.0,13789.06042,7546787804.0
11,Argentina,2016,5.79279661178589,43508459.0,75.7,557531000000.0,12790.24247,7737764998.0
12,Argentina,2017,6.08556079864502,43937143.0,75.9,643629000000.0,14613.04182,7925569727.0
13,Argentina,2018,5.90056705474854,44361150.0,76.0,524820000000.0,11795.15939,8106669354.0
14,Argentina,2019,5.92929983139038,44780675.0,76.2,452818000000.0,10076.35524,8274234941.0
15,Argentina,2020,5.96700000762939,45195777.0,76.3,389591000000.0,8585.694742,8431213004.0
16,Bangladesh,2005,4.60732221603394,139035505.0,65.3,69442943089.0,499.4619402,584171704.0
17,Bangladesh,2006,5.05227851867676,140921154.0,65.8,71819083684.0,509.6401899,625860872.0
18,Bangladesh,2007,5.08285140991211,142660381.0,66.3,79611888213.0,558.0518407,668503000.0
19,Bangladesh,2008,4.85848140716553,144304164.0,66.8,91631278239.0,634.9870697,713803872.0
20,Bangladesh,2009,4.98564910888672,145924795.0,67.3,102478000000.0,702.2644196,762951944.0
21,Bangladesh,2010,4.7244439125061,147575433.0,67.8,115279000000.0,781.1535777,816943497.0
22,Bangladesh,2011,4.66016101837158,149273134.0,68.2,128638000000.0,861.7621622,873499841.0
23,Bangladesh,2012,4.63556480407715,151005733.0,68.6,133356000000.0,883.1171296,934191161.0
24,Bangladesh,2013,4.63347387313843,152761413.0,69.1,149990000000.0,981.8608514,995972826.0
25,Bangladesh,2014,4.5561408996582,154517385.0,69.5,172885000000.0,1118.873808,1061951464.0
26,Bangladesh,2015,4.3097710609436,156256287.0,69.9,195079000000.0,1248.45331,1135228712.0
27,Bangladesh,2016,4.49921703338623,157977151.0,73.0,265236000000.0,1678.95323,1211705809.0
28,Bangladesh,2017,5.11421680450439,159685421.0,77.0,293755000000.0,1839.583378,1292649322.0
29,Bangladesh,2018,5.27998685836792,161376713.0,71.0,321379000000.0,1991.483267,1375249258.0
30,Bangladesh,2019,5.0246000289917,163046173.0,71.4,351238000000.0,2154.226819,1469464282.0
31,Bangladesh,2020,5.15549993515015,164689383.0,71.8,373902000000.0,2270.347535,1562305907.0
32,Bolivia,2005,5.62841939926147,9232301.0,65.312,9549077919.0,1034.311806,252115175.0
33,Bolivia,2006,5.29787254333496,9395449.0,65.853,11451869202.0,1218.874074,263662889.0
34,Bolivia,2007,6.08557939529419,9558438.0,66.395,13120183208.0,1372.628374,276325429.0
35,Bolivia,2008,5.78062009811401,9721457.0,66.937,16674324662.0,1715.208395,289879151.0
36,Bolivia,2009,5.77887439727783,9884790.0,67.476,17339992194.0,1754.209467,304108591.0
37,Bolivia,2010,6.0188946723938,10048597.0,68.007,19649631308.0,1955.460181,319534555.0
38,Bolivia,2011,5.76742887496948,10212951.0,68.521,23963033429.0,2346.337844,336526971.0
